num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250129,0,1,21.8,1,630,9,30.8,1,1336,9,26.4,1,26.3,1,9,1,17.5,9,20.5,9,0,9,2.9,1,,,6.5,1,130,1,1243,9,9.9,1,130,1,1234,9,,,,,,,8.8,1,,,1147,9,7,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250130,0.2,1,23.7,1,1947,9,30.2,1,1351,9,25.6,1,27,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250124,1.5,1,22.5,1,700,9,29,1,1200,9,25.9,1,25.8,1,6.5,1,19.6,9,21.8,9,,,,,2.5,9,,,,,,,,,,,,,8,9,90,9,1900,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250125,4.5,1,23.4,1,400,9,29.2,1,1200,9,26.2,1,26.3,1,5.8,1,21,9,22.6,9,,,,,2.8,9,,,,,,,,,,,,,11,9,130,9,1106,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250127,6,1,23.1,1,1800,9,29.2,1,1400,9,25.8,1,26.2,1,6.1,1,21.3,9,22.3,9,,,,,2.7,9,,,,,,,,,,,,,11,9,120,9,1742,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250120,2,1,23.9,1,2000,9,29,1,1400,9,26.2,1,26.5,1,5.1,1,22.2,9,23.4,9,,,,,3.2,9,,,,,,,,,,,,,11,9,140,9,1548,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250122,7.5,1,23.5,1,1700,9,28.6,1,1100,9,25.3,1,26.1,1,5.1,1,21.7,9,23.1,9,,,,,2.4,9,,,,,,,,,,,,,12,9,70,9,800,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250130,1,1,23.2,1,545,9,29.9,1,1216,9,25.9,1,26.6,1,6.7,1,19,9,22.1,9,0,9,2.9,1,,,7.3,1,130,1,1232,9,11.6,1,140,1,1228,9,,,,,,,10.2,1,,,1228,9,5,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250126,0.5,1,23.7,1,600,9,28.3,1,1000,9,25.9,1,26,1,4.6,1,21.8,9,22.6,9,,,,,2.8,9,,,,,,,,,,,,,9,9,110,9,1348,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250121,1.5,1,23.3,1,2300,9,29.5,1,1300,9,26.3,1,26.4,1,6.2,1,21.7,9,23.2,9,,,,,3.4,9,,,,,,,,,,,,,10,9,110,9,1512,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250123,2,1,24,1,0,9,28.6,1,1500,9,25.7,1,26.3,1,4.6,1,21.5,9,23.6,9,,,,,2.4,9,,,,,,,,,,,,,10,9,100,9,1406,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250131,0.8,1,22.7,1,633,9,29.9,1,1139,9,25.5,1,26.3,1,7.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
